DATA;CAMPUS;CONSUMO
2024-03-30;ARAPONGAS;3.6206896551724137
2024-03-31;ARAPONGAS;3.6206896551724137
2024-04-01;ARAPONGAS;3.6206896551724137
2024-04-02;ARAPONGAS;3.6206896551724137
2024-04-03;ARAPONGAS;3.6206896551724137
2024-04-04;ARAPONGAS;3.6206896551724137
2024-04-05;ARAPONGAS;3.6206896551724137
2024-04-06;ARAPONGAS;3.6206896551724137
2024-04-07;ARAPONGAS;3.6206896551724137
2024-04-08;ARAPONGAS;3.6206896551724137
2024-04-09;ARAPONGAS;3.6206896551724137
2024-04-10;ARAPONGAS;3.6206896551724137
2024-04-11;ARAPONGAS;7.566666666666666
2024-04-12;ARAPONGAS;7.566666666666666
2024-04-13;ARAPONGAS;7.566666666666666
2024-04-14;ARAPONGAS;7.566666666666666
2024-04-15;ARAPONGAS;7.566666666666666
2024-04-16;ARAPONGAS;7.566666666666666
2024-04-17;ARAPONGAS;7.566666666666666
2024-04-18;ARAPONGAS;7.566666666666666
2024-04-19;ARAPONGAS;7.566666666666666
2024-04-20;ARAPONGAS;7.566666666666666
2024-04-21;ARAPONGAS;7.566666666666666
2024-04-22;ARAPONGAS;7.566666666666666
2024-04-23;ARAPONGAS;7.566666666666666
2024-04-24;ARAPONGAS;7.566666666666666
2024-04-25;ARAPONGAS;7.566666666666666
2024-04-26;ARAPONGAS;7.566666666666666
2024-04-27;ARAPONGAS;7.566666666666666
2024-04-28;ARAPONGAS;7.566666666666666
2024-04-29;ARAPONGAS;7.566666666666666
2024-04-30;ARAPONGAS;7.566666666666666
2024-05-01;ARAPONGAS;7.566666666666666
2024-05-02;ARAPONGAS;7.566666666666666
2024-05-03;ARAPONGAS;7.566666666666666
2024-05-04;ARAPONGAS;7.566666666666666
2024-05-05;ARAPONGAS;7.566666666666666
2024-05-06;ARAPONGAS;7.566666666666666
2024-05-07;ARAPONGAS;7.566666666666666
2024-05-08;ARAPONGAS;7.566666666666666
2024-05-09;ARAPONGAS;7.566666666666666
2024-05-10;ARAPONGAS;7.566666666666666
2024-05-11;ARAPONGAS;1.5625
2024-05-12;ARAPONGAS;1.5625
2024-05-13;ARAPONGAS;1.5625
2024-05-14;ARAPONGAS;1.5625
2024-05-15;ARAPONGAS;1.5625
2024-05-16;ARAPONGAS;1.5625
2024-05-17;ARAPONGAS;1.5625
2024-05-18;ARAPONGAS;1.5625
2024-05-19;ARAPONGAS;1.5625
2024-05-20;ARAPONGAS;1.5625
2024-05-21;ARAPONGAS;1.5625
2024-05-22;ARAPONGAS;1.5625
2024-05-23;ARAPONGAS;1.5625
2024-05-24;ARAPONGAS;1.5625
2024-05-25;ARAPONGAS;1.5625
2024-05-26;ARAPONGAS;1.5625
2024-05-27;ARAPONGAS;1.5625
2024-05-28;ARAPONGAS;1.5625
2024-05-29;ARAPONGAS;1.5625
2024-05-30;ARAPONGAS;1.5625
2024-05-31;ARAPONGAS;1.5625
2024-06-01;ARAPONGAS;1.5625
2024-06-02;ARAPONGAS;1.5625
2024-06-03;ARAPONGAS;1.5625
2024-06-04;ARAPONGAS;1.5625
2024-06-05;ARAPONGAS;1.5625
2024-06-06;ARAPONGAS;1.5625
2024-06-07;ARAPONGAS;1.5625
2024-06-08;ARAPONGAS;1.5625
2024-06-09;ARAPONGAS;1.5625
2024-06-10;ARAPONGAS;1.5625
2024-06-11;ARAPONGAS;1.5625
2024-06-12;ARAPONGAS;2.966666666666667
2024-06-13;ARAPONGAS;2.966666666666667
2024-06-14;ARAPONGAS;2.966666666666667
2024-06-15;ARAPONGAS;2.966666666666667
2024-06-16;ARAPONGAS;2.966666666666667
2024-06-17;ARAPONGAS;2.966666666666667
2024-06-18;ARAPONGAS;2.966666666666667
2024-06-19;ARAPONGAS;2.966666666666667
2024-06-20;ARAPONGAS;2.966666666666667
2024-06-21;ARAPONGAS;2.966666666666667
2024-06-22;ARAPONGAS;2.966666666666667
2024-06-23;ARAPONGAS;2.966666666666667
2024-06-24;ARAPONGAS;2.966666666666667
2024-06-25;ARAPONGAS;2.966666666666667
2024-06-26;ARAPONGAS;2.966666666666667
2024-06-27;ARAPONGAS;2.966666666666667
2024-06-28;ARAPONGAS;2.966666666666667
2024-06-29;ARAPONGAS;2.966666666666667
2024-06-30;ARAPONGAS;2.966666666666667
2024-07-01;ARAPONGAS;2.966666666666667
2024-07-02;ARAPONGAS;2.966666666666667
2024-07-03;ARAPONGAS;2.966666666666667
2024-07-04;ARAPONGAS;2.966666666666667
2024-07-05;ARAPONGAS;2.966666666666667
2024-07-06;ARAPONGAS;2.966666666666667
2024-07-07;ARAPONGAS;2.966666666666667
2024-07-08;ARAPONGAS;2.966666666666667
2024-07-09;ARAPONGAS;2.966666666666667
2024-07-10;ARAPONGAS;2.966666666666667
2024-07-11;ARAPONGAS;2.966666666666667
